Gardiners,Transliteration,English
G25Aa1,Ax,spirit
G1Aa1,Ax,spirit
G25Z1A52,Ax,spirit
G25Aa1Y1,Ax,"be a spirit, become a spirit, glorious, splendid,
beneficial, useful, profitable, fame"
G25,Ax,"be, become a spirit, beneficial, useful,
profitable"
G25Aa1X1Y1,Axt,"what is good, profitable, useful"
X1G25Aa1,Axt,"what is good, profitable, useful"
Aa1G25X1Z2,Axt,"what is good, profitable, useful"
G25Aa1G43Y1Z2,Axw,"power of god, mastery over work"
G25Y1Z2,Axw,power of god
G25Aa1Y1Z2,Axw,power of god
G25Aa1Y1,Axw,power of god
G25Aa1Z2G43,Axw,power of god
X1G25Aa1N23Z1,Axt,arable land
N21G25Z1,Axt,arable land
Aa1G25X1N21,Axt,arable land
G25Aa1X1I13,Axt,uraes-serpent
G25X1I13,Axt,uraeus - serpent
G25Aa1X1D6,Axt,eye of god
G25Aa1X1Q7,Axt,flame
G25Aa1M17M17X1O1,Axyt,still-room ?
N27X1O1,Axyt,still - room
N27X1O1,Axt,horizon
G25Aa1X1Z8,Axt,"horizon, tomb of king"
G25X1N27O1,Axt,"horizon, tomb of king"
N27N27A40,Axty,horizon-dweller
G25Aa1X1Z8U33M17,Axty,horizon - dweller
X1G25Aa1Z8Z8A40,Axty,horizon - dweller
N27X1G4,Axtyw,horizon - dwellers  a remote people
N27X1O1G4A40Z3,Axtyw,horizon - dwellers
G1Aa1G4N33A,Axtyw,horizon - dwellers
G25Aa1G4B53B53B53,Axtyw,horizon - dwellers a remote people
G1Aa1G43N8,Axw,"sunlight, sunshine"
N8G7,Axw,"sunlight, sunshine"
N8G43A40,Axw,"sunlight, sunshine"
G25Aa1N8,Axw,"sunlight, sunshine"
M17G1Aa1G43N8,Axw,"sunlight, sunshine"
G1Aa1G1Aa1M2,AxAx,grow green
G1Aa1G1Aa1N14N14N14,AxAx,stars
G1Aa1G1Aa1M3Z2,AxAx,spars of ship ?
G1Aa1I9Y1,Axf,fever of appetite ?
G1Aa1I9Aa1I9Q7,Axfxf,be fiery
G1F32D36D51,AXa,"scratch, srape, carve, engrave"
G1F32D36X1D51,AXat,"scratch, scar"
G1F32D58A2,AXb,swallow
G1S29V2D54X4Z2,As,"a type of cake, bread"
G1S29V2D54,As,"hurry, flow fast, hasten, overtake, quickly"
G1O34V2D54,As,"hurry, flow fast, hasten, overtake, quickly"
G1S29G41,As,bald-headed vulture
G1S29Aa2,As,"bald, viscera"
Q1X1B1,Ast,Isis
H8X1B1,Ast,Isis goddess
Q1X1G7,Ast,Isis goddess
G1Q1X1B1,Ast,Isis goddess
G1O34D58F3,Asb,"fierce, glowing of radience"
G1S29D58Q7,Asb,"fierce, glowing of radiance"
G1S29D58M17M17G43Q7Z3,Asbyw,flames
G1S29Aa1U2,Asx,sickle
G1S29X1F51,As   Ast,testicles
G1O34Aa1U2D40,Asx,reap
G1S29Aa1U1,Asx,reap
G1S29Aa1D36,Asx,reap
G1N37Z7W22Z2,AS,a type of drink
G1N37D21Q7,ASr,roast
G1N37D21F51,ASr,"roast, roast meat, a roast"
G1N37D21X1F51,ASrt,roast joint
G1O34D21X1N1,Asrt,"heaven, sky"
G1N29G37,Aq,"perish, come to grief"
G1N29Z7G37Z2,Aqw,"ruin, misfortune"
G1N29G37,Aqw,misfortune
G1N29V28G43T7A,AqHw,battle-axe
G1N29S29V6,Aqs,a type of garment
G1N29D46N14A40,Aqd,a star
G1V31D36,Ak,be bent of elbow
G1V31D21E128,Akr,"Aker, the earth, earth-gods"
G1V31D21I14Z2,Akrw,earth - gods
G1V31D21A40Z3,Akrw,earth - gods
G1V31D21G7N33A,Akrw,earth - gods
G1X1A24,Ayt,blanch
G1X1I3,Adw,aggressor
G1X1M17M17X1D56B1,ATyt,nurse
G1U33M17Z7X1M3,ATwt,bed
G1X1I9F7D,Atf,be crowned
S8,Atfw,Atef crown
G1X1I9G43S8,Atfw,Atef-crown
G1X1I9S8Z2,Atfw,Atef crown
G1X1I9G43F7,Atfw,Atef crown
G1V13B5D,AT,nurse
G1V13M17M17B5,AT,nurse
G1X1M17M17X1D56B1,AT,nurse
G1V13M17M17X1B5D,ATyt,nurse
G1V13X1Q18,ATwt,bed
G1V13G43X1M3,ATwt,bed
G1U33M17Z7X1M3,ATwt,bed
G1V13Q3A9,ATp,"load, be laden"
G1X1Q3A9,ATp,load a ship
G1X1Q3A125D40,ATp,load a ship
A9A24,ATp,be heavy laden with trouble
G1X1Q3G43A9A24,Atpw,"load, cargo"
A9Z7Y1Z2,Atpw,cargo
A9Q3Z7Y1Z2,Atpw,cargo
G1X1Q3G43X1A9D40Z2,Atpwt,"load, cargo"
G1X1Q3M17M17X1A9,Atpwt,cargo
G1X1Q3A9M3,Atp,coffer
G1D46D54,Ad,"quiver, palpitate"
G1D46I3,Ad,"be savage, be aggressive, be angry, attack,
anger"
G1D46G43I3A1,Adw,aggressor
G1D46G43D36A1,Adw,aggressor
G1X1I3,Adw,aggressor
G1D46Aa2,Ad,decay
G1D46X1Y1A24,Adt,prepare a sleeping place
G1D46X1Z5A24,Adt,prepare
M17F51F51F51,i,flesh
M17M2Z2,i,"reeds, leaves"
M17Z1M2Z2,i,"reeds, leaves of reeds"
A1,i,"I, me, my"
M17,i,"I,me,my"
A40,i,"I,me,my"
A50,i,"I,me,my"
M17A1,i,"I,me,my"
M2,i,"I, me, my"
M17A2,i,"O!, say, utterance"
M17A26,i,O !
M17G1X1F37,iAt,"back, spine of man, animal"
F37X1Z1,iAt,"back, spine of man, animal,middle of river,
lake"
M17G1X1F37F51B,iAt,"back, spine of man, animal"
M17G1X1F37X1Z1,iAt,"back, spine of man, animal, middle of river,
lake"
M17G1X1R12,iAt,standard for cult objects
M17G1X1N30,iAt,"mound, ruin"
M17X1N30,iAt,"mound, ruin"
N30X1Z1N23,iAt,"mound, ruin"
O44X1Z1,iAt,"office, function"
M17G1X1Z5Y1Z2,iAt,"office, function"
M17G1G43X1O44Y1Z2,iAwt,"offices, functions"
M17G1X1G14,iAt,a milk - goddess
R19X1X1W24,iAtt,"milk, cream"
R19AX1X1W24,iAtt,"milk, cream"
S152X1X1W23,iAtt,"milk, cream"
M17G1A30,iAi,adore
A30,iAw,adoration
M17G1G43A30,iAw,adoration
M17G1A30,iAw,adoration
M17A30Z3,iAw,adoration
M17G1A30Y1VZ3,iAw,adoration
M17G1G43A30Y1Z2,iAw,adoration
M17G1G1N21Z2,iAA,mounds of rubble
M17G1G1M17M17X1M2,iAAyt,"rod, reed, rushes"
M17G1G1X1M34,iAAyt,"rod, reeds, rushes"
M17G1G1X1S42,iAAyt,"rod, reeds, rushes"
M17G1G1X1M2,iAAyt,"rod, reeds, rushes"
M17G1G1X1M3,iAAyt,"rod, reeds, rushes"
A19,iAwi,"be aged, attain old age, old age"
M17G1G43A19,iAwi,"be aged, attain old age, old age"
M17G43G1Z4A19,iAwi,"be aged, attain old age, old age"
M17G1G43X1A19,iAwt,old age
A19X1,iAwt,old age
M17G1G43A19A1,iAw,old man
M17G1A19,iAw,old man
M17G1M17M17X1B1,iAyt,old woman
M17G1M17M17X1A19B1,iAyt,old  woman
M17G1X1A19,iAyt,old  woman
M17G1X1G43O44F27Z2,iAwt,herds
R15,iAby,"left hand, east, eastern, the left side of"
R15D58Z4D41,iAby,"left hand, east, eastern, left-side of"
R15D58N25,iAby,"left hand, east, eastern, the left side of"
R15D58D41,iAby,"left hand, east, eastern, the left side of"
U23D58Z4D41,iAby,"left hand, east, eastern, the left side of"
R15D58X1N25,iAbt,the East
R15X1,iAbt,the East
R15X1D58O49X1Z1,iAbt,the East
M17G1D58X1,iAbt,the East
R15D58T19F51Z2,iAb,"finger, toe nail"
R15D58X1Z4,iAbty,"east, eastern, left-hand"
X1R15Z4,iAbty,"east, eastern, left - hand, the East"
R15D58X1N25,iAbty,"east, eastern"
M17G1D58U33,iAbty,"east, eastern"
R15D58X1O39,iAbty,"east, eastern"
R15D58X1Z4N23,iAbty,left - hand
R15D58G1A1B1Z2,iAbtyw,Easterners
R15G4Z2,iAbtyw,Easterners
R15D58X1G4N23Z1,iAbtyw,the east of
R15D58G4N25,iAbtyw,the east of
R15G4N21Z1,iAbtyw,the east of
R15P5,iAb,the east wind
R15P5X1,iAbt,the east wind
R15D58X1P5,iAbt,the east wind
M17G1D58P5,iAb,the east wind
R15D58X1X1N25,iAbtt,the East
R15X1X1,iAbtt,the East
R15D58X1N23X1Z1,iAbtt,the East
R15D58X1X1M3,iAbtt,snare ?
R15D58Z7F27Z3,iAbw,leopard
M17G1G17V1,iAm,bind the sacrifice
M17G1G17T30A,iAm,bind the sacrifice
G1G17T30A,iAm,bind the sacrifice
M17G1G17S42,iAm,offer to
